Word,chr,value
nqjrsx,6,102
tcxsckod,8,99
nhjh,4,40
sdzd,4,53
fcrgn,5,48
gstyp,5,87
ygdoq,5,68
ihimdfcisr,10,98
axoareourn,10,132
hguifjp,7,77
abqhzkv,7,87
bnzfcg,6,58
ybjkw,5,71
fzbinp,6,73
lxtllt,6,100
ufwakokc,8,91
hgfomb,6,51
uvpuo,5,95
iiie,4,32
mkxp,4,64
mphsihg,7,80
xwnlrzdlh,9,141
vstlldstw,9,151
sjoujr,6,93
qahmyjssmd,10,129
vntn,4,70
xhgz,4,65
uvydntl,7,118
pmu,3,50
gdjskcvxhn,10,122
douehi,6,62
bznmqsl,7,103
ziensh,6,81
uwah,4,53
sigu,4,56
bvabgvdxr,9,102
vjzlevk,7,108
pkkpizm,7,102
qsinomwgwv,10,162
qmkz,4,67
qcvip,5,67
ban,3,17
uaxjb,5,58
noh,3,37
gfwcbtzlja,10,110
dzy,3,55
xohhprxbp,9,131
nlnzexyzn,9,160
jwrbbzj,7,91
yicpdw,6,80
wnpocygwp,9,142
tsyvyvbba,9,138
jvnvuarj,8,118
ujpqwezdv,9,144
ggpuxbsgyz,10,154
lxs,3,55
axp,3,41
suxi,4,73
mdhpnhjmj,9,96
jxiruwbh,8,115
bstyezfal,9,116
xypg,4,72
lyubmjy,7,108
krm,3,42
qqva,4,57
esgeljr,7,76
tvzdm,5,85
vzzbvtnj,8,142
hnirmpjzl,9,126
lqs,3,48
zqtdor,6,100
fsxi,4,58
dlw,3,39
cfr,3,27
bxzlquqkoa,10,146
pnjzjneam,9,109
vmjni,5,68
hpkllqr,7,94
jiyicwef,8,90
dknuiujpma,10,120
ypnjicgec,9,92
ylmdkqdbz,9,114
ejbtnox,7,90
zbmekriex,9,113
qubvi,5,71
lsrsr,5,86
vtplpjz,7,122
jnsj,4,53
pbqdckb,7,55
rwuadpiy,8,117
ncdp,4,37
izxsirqr,8,140
dykrvrs,7,117
xvcbyq,6,93
iriwgphna,9,105
ruvoocgxqb,10,144
mak,3,25
ahglnodmj,9,84
qpngmwtbc,9,115
scbbwla,7,62
imvog,5,66
ifwmhp,6,75
wia,3,33
vxjytsld,8,136
wlpkk,5,73
sya,3,45
jzju,4,67
cqvi,4,51
fevrdbo,7,72
kdcpw,5,57
nngkvy,6,93
knsgcedri,9,90
wxgybiqg,8,114
xfrvfs,6,95
dxzru,5,93
ubg,3,30
dqcdzymih,9,109
ygy,3,57
hga,3,16
hloiduvhig,10,115
srsx,4,80
skfjdbymu,9,111
klautsbk,8,97
qbpyn,5,74
qnkdbqcfi,9,83
dicdchusc,9,74
mfuvbcx,7,91
xgbpb,5,51
reltztnie,9,129
gaccvga,7,44
okvdtys,7,116
eahal,5,27
kvigkwcsv,9,127
puqyyoqw,8,159
beogqdgnyr,10,114
lndofr,6,69
dypkhks,7,94
rfrhf,5,56
rclpmk,6,73
ajpmkkkw,8,96
zfcn,4,49
vkk,3,44
wxdhaivde,9,100
tidtghcxyy,10,145
btkizh,6,76
vis,3,50
ymg,3,45
ufnhs,5,68
xgpwtalik,9,123
vsloa,5,69
daag,4,13
shf,3,33
yocezsnkmg,10,138
tcfkezesnb,10,111
attwcy,6,92
hrcmgucma,9,87
pczuh,5,74
jxtaojrhqo,10,138
dpftdzhuor,10,138
qixtxty,7,139
tbuyqdejv,9,126
tmlktey,7,106
bfpggdauwj,10,97
dxkgmrn,7,91
twoxy,5,107
dbzgabgxrx,10,115
epaqshifq,9,98
fawywstx,8,141
xnjwd,5,75
qwpowbay,8,122
gco,3,25
vbkge,5,47
ncwzy,5,91
mfpqf,5,58
moiu,4,58
qigyao,6,74
gft,3,33
tuhhek,6,73
gpns,4,56
ieklqgor,8,94
